autor_comentario,autor_endereco,comentario_corpo,comentario_data,comentario_titulo
Luiz Antonio P,"Curitiba, Parana, Brazil",Para conhecer Curitiba e participar de eventos este é o local apropriado.,Feita em 2 de setembro de 2014,"Bonito Parque,  As maiores exposições de Curitiba, se concentram neste local."
Gisseli,"Curitiba, PR","A maioria dos curitibanos ama o Parque Barigui, especialmente os mais jovens e desportistas. Eu não curto muito não. Acho que em comparação com os outros parques da cidade, este é o menos arborizado, menos bonito... É difícil encontrar um lugar à sombra e o passeio se torna cansativo, principalmente para quem vai com crianças com menos de três anos.",Feita em 2 de setembro de 2014,Sol na molêra.
Bassetti2019,"Curitiba, PR","Se quiser correr, levar as crianças pra brincar, ver pessoas bonitas, fazer um Hapy Hour, se divertir em um Domingo de sol, esse é o lugar em Curitiba.",Feita em 2 de setembro de 2014,Melhor Parque de Curitiba
Bach,"Ponta Grossa, PR",O parque Barigui é muito bonito. Seu tamanho e suas paisagens são esplendorosas. Vale a pena visitar mais de uma vez e passar horas aproveitando tudo o q o parque e a natureza oferecem em meio aos prédios e shoppings.,Feita em 2 de setembro de 2014,Parque dos parques
Paulo Setim,"São José dos Pinhais, PR",Um parque muito bom para pratica de esportes. Ótimo local para uma boa caminhada tendo toda a infra estrutura necessária.,Feita em 2 de setembro de 2014,Parque
MLOLIVEIRA2014,"Curitiba, PR","Excelente lugar para caminhar, descansar, se divertir e passar bons momentos nos ""barzinhos"" conversando com os amigos e apreciando o belo lago.",Feita em 1 de setembro de 2014,"""Onde mora a liberdade"""
Osvaldo_Dietrich,"Curitiba, PR","Só sair um sol que o Curitibano corre pro Barigui, um excelente local para praticar esportes tb. Atende a todos os gostos.",Feita em 1 de setembro de 2014,Praia de Curitiba
Maria Aparecida A,"Belo Horizonte, Minas Gerais, Brazil","Trata-se de uma área bem verde, espaçosa, onde podemos descansar debaixo de árvores apreciando toda a natureza. ",Feita em 1 de setembro de 2014,Lindo!
Joao Devanir S,2 contribuições,"moro neste lugar especial de lazer e esporte para curtir  por inteiro, não  me canso de admirar-lo apesar de morar no local.simplesmente perfeito.",Feita em 1 de setembro de 2014,melhor parque Curitibano.
Rg7777,"Jaraguá do Sul, SC",O local é lindo,Feita em 1 de setembro de 2014,Lindo
Rafaela_zesz,"Belo Horizonte, MG","Uauu! Nossa praia Curitibana, ar livre, esportes, lazer, passeios românticos (pra quem gosta), em família, piqueniques, muito boa, recomendo!!!",Feita em 1 de setembro de 2014,Praia Curitibana
AdriCwb,"Curitiba, PR","Uma otima opcao de passeio!  Parque lindo com uma paisagem linda com animais ao redor do lago. Voce pode escolher caminhar, correr ou simplesmente passear com a familia, amigos ou ate sozinho!!",Feita em 1 de setembro de 2014,Parque Barigui
edavini,"São Paulo, SP","Se estiver com crianças, vale a visita. Aos finais de semana fica meio cheio, dica: chegue cedo para arrumar uma vaga para o carro no estacionamento e aproveite o dia.",Feita em 1 de setembro de 2014,O melhor parque de Curitiba.
Roseni561,"Curitibanos, SC","Sempre agradável para caminhada, talvez o melhor parque de Curitiba para esta prática. Em dias de sol acredito ser o lugar preferido dos curitibanos, no período da manhã.",Feita em 1 de setembro de 2014,Muito bom !
LuciaCK,"Curitiba, PR","É um parque muito bom dentro da cidade de Curitiba...onde se pode passear, praticar esportes, levar seus filhos e animais domésticos para passear. Nos finais de semana o movimento é intenso",Feita em 1 de setembro de 2014,Parque na cidade
Nilman2014,"São José dos Pinhais, PR","Um excelente local para se fazer de tudo um pouco. Área verde extensa, cheia de trilhas e pistas para andar de bicicleta e caminhar. Muito verde, opções e variedades na gastronomia, um imenso lago para passear inclusive de pedalinho. Quiosques para fazer churrasco com a familia. Maravilhoso.",Feita em 1 de setembro de 2014,Tranquilidade
Boschini00,"Curitiba, PR","Uma area verde excelente para se fazer exercicios, pistas de corrida e tambem para ciclistas.",Feita em 1 de setembro de 2014,Corpo em forma
DariusGodoy,12 contribuições,"um dos melhores lugares de Curitiba, parque grande, com bastante atracoes, lugares para lanches.",Feita em 1 de setembro de 2014,Sabado no parque
Gefersonlemos,"Curitiba, PR","Lugar bonito, agradável, sempre com atrações diferentes.",Feita em 1 de setembro de 2014,Relaxar
Rodrigo Fontan,5 contribuições,"Quer encontrar gente bonita, esportistas, clima agradável, principalmente nos finais de tarde ou no agito do final de semana, este é o lugar certo. Guardadas as devidas proporções é o Ibirapuera de Curitiba.",Feita em 1 de setembro de 2014,O melhor parque da cidade
biscoito670,curiitba,"O parque Barigui é sem dúvida o preferido de grande parte da população curitibana, tanto que se encontra lotado todos os finais de semana. ",Feita em 1 de setembro de 2014,Um parque como poucos
,26 contribuições,"Bom lugar para caminhar e correr. Mas de noite dá medo, pois o entorno é um pouco escuro e sem movimento. Dizem que de dia é tranquilo, mas que a noite é perigoso.",Feita em 1 de setembro de 2014,Belo parque
Mirnei,"Curitiba, PR","Ideal para apreciar a natureza e fazer exercícios,relaxar às margens do lago.Aos domingos fica bem agitado com famílias e grupos de amigos e turistas.",Feita em 1 de setembro de 2014,O melhor parque de Curitiba.
DAVIS_CWB,"Curitiba, PR","Show de bola....modelo de limpeza, preservação, estrutura pra receber atletas, visitantes e todos aqueles que curtem um passeio ao ar livre, dentro de nossa querida Curitiba !!!",Feita em 1 de setembro de 2014,Natureza ao alcance de curitibanos e turistas
Leandro Z,"São Paulo, SP","Vale a pena o passeio quando estiver em Curitiba. Parque é amplo com pista para caminhada, corrida, bike e tudo mais o que um parque pode oferecer. Tem estacionamento e várias opções para alimentação.",Feita em 31 de agosto de 2014,Parque Birigui
Luciana Lins,"Rio de Janeiro, RJ","Parque muito agradável, com linda paisagem. Ótimo local para andar de bicicleta, patins, skate, correr. Possui quiosques que oferecem lanches variados. Muito bom para um passeio num fim de semana ensolarado!",Feita em 31 de agosto de 2014,Ótimo passeio ao ar livre!
Leandro C,30 contribuições,Um lugar muito bom de se passar no final de semana.,Feita em 31 de agosto de 2014,Ponto de encontro dos curitibanos aos domingos
PaulaCM2013,"Curitiba, PR","Amo o parque Barigui!! Ótimo para exercitar ou passear com as crianças! Meus filhos amam passar nas pontes e ver as capivaras e patos, nos dias de semana até ovelhinhas!!! Ao final do passeio uma água de coco fresquinha ou caldo de cana no estacionamento fecham com chave de ouro o passeio!!",Feita em 31 de agosto de 2014,Quem vem pra Curitiba tem que conhecer!!!
JanainaHelena,"Maceió, AL",Visitei com um curitibano e foi bem agradável. Fizemos uma caminhada pelo parque e o clima é excelente. Há lanchonetes e banheiros. Recomendo. ,Feita em 30 de agosto de 2014,Bem legal
AssahiraShiro,476 contribuições,"O Parque Barigui é amplo, organizado e limpo. Excelente para quem corre ou para simplesmente caminhar e aproveitar um belissimo pôr do sol. É um clima tipico do sul do Brasil, com as araucárias compondo o belo cenário. Recomendadíssimo!",Feita em 30 de agosto de 2014,Um dos lugares mais incríveis de Curitiba
Lilli57_13,"Curitiba, PR","Em questão de Parque é o melhor. Você pode aproveitar em todas as faixas etárias. Pode ler o seu livro, jogar uma bola, pular uma corda, paquerar, andar de bicicleta, caminhar, correr, andar de skate, levar o seu cachorro para um passeio, tomar uma bebida gelada, restaurantes, local adequado para evento particular bem como um grande centro de convenções. Tudo de bom na nossa querida Curitiba. Quem não conhece deve conhecer, vale a pena. Você não vai perder seu tempo.",Feita em 30 de agosto de 2014,Parque Barigui
Wilson J,"Curitiba, PR",Ótima opção de lazer em Curitiba para os dias de sol. Local apropriado para se passear com a família e amigos. Espaços para praticar atividade física esportes. Churrasqueiras gratuitas para aproveitar o dia. ,Feita em 29 de agosto de 2014,Melhor parque de Curitiba
MoRPF,"Curitiba, PR","O Parque Barigui é um dos roteiros principais do turismo de Curitiba, local para caminhada, esportes, descanso, e refeições. É a praia do curitibano e com algumas obras realizadas está muito melhor. Vale a pena separar algumas horas do dia para fotos e lazer. Facil acesso e próximo a shopping / terminais;",Feita em 29 de agosto de 2014,Parque e Familia
malu170395,"Maceió, AL","O parque é bonito arborizado tem bastante gente e movimento os banheiros são habitáveis muita oferta para água de coco, estacionamento razoável que realmente não supre em dia de sol porem as pista novas que fizeram para caminhada são muito estreitas para quantidade de gente e depois das 13 fica impraticável devido a frequentadores ",Feita em 29 de agosto de 2014,Prai dos curitibanos
FrancineZaninelli,"Curitiba, PR","O parque é bem centralizado, tem várias vagas de estacionamento, um grande lago e uma pista de corrida ao redor. Durante a semana é bem tranquilo, mas final de semana é impraticável. Muita gente, pra todos os lados, carros de som, criança, cachorro,..uma bagunça. Porém, bem cedinho acontece a aula de Yoga gratuita, uma iniciativa muito legal. As opções de alimentação do parque são : pipoca e sorvete de ambulantes, o restaurante Maggiore é no meio do parque, porém mais sofisticado, tem o bar do parque, com petiscos, sanduíches, etc.. e também existe a casa amarela com água de coco. Muita gente caminha no parque no período da noite, durante o verão. Recomendo ( durante a semana ).",Feita em 29 de agosto de 2014,Ótimo para dias de semana com sol.
Antonio M,"Curitiba, PR",Parque ótimo para caminhadas e corridas diárias. Ambientes maravilhoso onde se respira ar puro do bosque que entorna o parque. Tem opção de Restaurante e lanchonete. É bem servido de transporte público ao local. Passa a Linha turismo que é um um diferencial.,Feita em 29 de agosto de 2014,Domingo no Parque
Danicandrade,54 contribuições,Simplesmente uma delicia. Visual super agradável tanto para quem vai fazer exercício quanto para as pessoas que vão apenas conhecer. ,Feita em 29 de agosto de 2014,Delicia de parque!
Tela303441,"Curitiba, PR",Este parque acho que e o maior de Curitiba ...se nao e o maior e o mais movimentado ......sabado domingo e feriados nao se consegue andar por la ...ainda tem um centro de exposicoes  que tem as melhores feiras da nossa capital....vale a pena passear la ....,Feita em 28 de agosto de 2014,muito bom
TomasEon,"Curitiba, PR","Trata-se de um parque agradável e extenso. Bom para passear, almoçar ou petiscar nos restaurantes à beira do lago, caminhar pela pista de cooper. Tem belas mansões ao redor. Costuma ficar cheio nos fins de semana de sol. Eventualmente, tem feiras interessantes no espaço de exposições (nesse caso, com entrada paga).",Feita em 28 de agosto de 2014,A praia do curitibano
Milton T,"Curitiba, Parana, Brazil","O Parque Barigui é um dos cartões postais de Curitiba, espaço para feiras, amplo estacionamento, restaurante, lanchonete, churrasqueiras, pistas para caminhadas, lago, bosques, muita gente bonita e interessante ""desfilando"" e conta ainda com Automóvel Clube de carros antigos.",Feita em 28 de agosto de 2014,Parque e laser
Henrique M,"Curitiba, PR",Esse é o local de encontro da população Curitiba e agora também dos muitos Paulistas que moram aqui já que muitos moram nos bairros dos arredores do parque.,Feita em 28 de agosto de 2014,Praia do Curitibano
avigdor2111,"Curitiba, PR","Um magnífico espaço para passeios, caminhadas e lazer dentro do Curitiba, com fácil acesso. Conta com áreas verdes, grandes espaços e áreas para prática de esportes e longas caminhadas. ",Feita em 28 de agosto de 2014,A orla de Curitiba
Lilian M,"Curitiba, PR","uma extensa area verde, com lago, pista para corrida/caminhada.  Tem excelente estrutura. Um dos locais bem procurados pelos moradores para a pratica de exercicios,",Feita em 28 de agosto de 2014,belo parque
Aline R,51 contribuições,"Meu sonho é morar perto de um parque como esse! Lugar delicioso de ficar, muito verde, lago incrivel! Claro que tem os funkeiros no estacionamento, mas é só ignorar! Gostei muito de passar o dia no parque! Adoraria correr lá durante a semana (de fds é impossivel).",Feita em 28 de agosto de 2014,Amei...
DANINUT,"Lisboa, Portugal",É um excelente local para cainhadas e outras atividades ao ar livre. Lindo lugar para passear com a família ou curtir com os amigos.,Feita em 27 de agosto de 2014,Excelente parque
Gabriela A,"Natal, RN","Lugar lindo. Ótima opção para pequeniques, caminhadas, passeio com a familia. Aproveitar a vida e contemplar a natureza. Recomendo.",Feita em 26 de agosto de 2014,FERIAS
Mauro M,50 contribuições,"De se ver, pelo verde e tranquilidade, a caminhada se faz presente, a localização excelente, muito bom para levar a familia.",Feita em 26 de agosto de 2014,Bonito....
Marcela D,"Ribeirão Prêto, São Paulo, Brazil","Esse parque é ótimo para atividades físicas. Tem pistas separadas para quem está correndo, caminhando e andando de bicicleta. Nunca tinha visto um parque tão bem conservado sem grades. Achei muito interessante!",Feita em 26 de agosto de 2014,clima muito bom
